

Date 	Value
Aug 1, 1958 	415.99
Jul 1, 1958 	399.61
Jun 1, 1958 	390.27
May 1, 1958 	381.11
Apr 1, 1958 	369.25
Mar 1, 1958 	368.52
Feb 1, 1958 	363.60
Jan 1, 1958 	362.37
Dec 1, 1957 	357.91
Nov 1, 1957 	358.09
Oct 1, 1957 	367.28
Sep 1, 1957 	391.68
Aug 1, 1957 	408.25
Jul 1, 1957 	432.03
Jun 1, 1957 	426.49
May 1, 1957 	421.08
Apr 1, 1957 	406.96
Mar 1, 1957 	399.18
Feb 1, 1957 	395.53
Jan 1, 1957 	414.86
Dec 1, 1956 	424.08
Nov 1, 1956 	419.39
Oct 1, 1956 	423.79
Sep 1, 1956 	430.86
Aug 1, 1956 	447.67
Jul 1, 1956 	448.70
Jun 1, 1956 	428.74
May 1, 1956 	434.44
Apr 1, 1956 	450.20
Mar 1, 1956 	446.62
Feb 1, 1956 	417.84
Jan 1, 1956 	415.20
Dec 1, 1955 	426.68
Nov 1, 1955 	421.16
Oct 1, 1955 	394.55
Sep 1, 1955 	415.44
Aug 1, 1955 	399.03
Jul 1, 1955 	401.47
Jun 1, 1955 	375.51
May 1, 1955 	354.93
Apr 1, 1955 	356.44
Mar 1, 1955 	344.55
Feb 1, 1955 	347.28
Jan 1, 1955 	336.05
Dec 1, 1954 	330.10
Nov 1, 1954 	314.48
Oct 1, 1954 	302.63
Sep 1, 1954 	295.77
Aug 1, 1954 	287.92
Jul 1, 1954 	282.30
Jun 1, 1954 	271.34
May 1, 1954 	269.18
Apr 1, 1954 	259.84
Mar 1, 1954 	248.95
Feb 1, 1954 	243.79
Jan 1, 1954 	238.55
Dec 1, 1953 	232.64
Nov 1, 1953 	229.55
Oct 1, 1953 	223.75
Sep 1, 1953 	218.03
Aug 1, 1953 	228.52
Jul 1, 1953 	228.43
Jun 1, 1953 	225.24
May 1, 1953 	234.48
Apr 1, 1953 	234.13
Mar 1, 1953 	246.26
Feb 1, 1953 	245.95
Jan 1, 1953 	248.06
Dec 1, 1952 	245.81
Nov 1, 1952 	236.27
Oct 1, 1952 	229.01
Sep 1, 1952 	233.91
Aug 1, 1952 	237.69
Jul 1, 1952 	236.75
Jun 1, 1952 	231.87
May 1, 1952 	226.55
Apr 1, 1952 	226.64
Mar 1, 1952 	228.18
Feb 1, 1952 	227.60
Jan 1, 1952 	230.07
Dec 1, 1951 	222.65
Nov 1, 1951 	216.81
Oct 1, 1951 	224.72
Sep 1, 1951 	226.74
Aug 1, 1951 	222.75
Jul 1, 1951 	213.41
Jun 1, 1951 	209.71
May 1, 1951 	213.41
Apr 1, 1951 	214.13
Mar 1, 1951 	211.30
Feb 1, 1951 	215.75
Jan 1, 1951 	210.46
Dec 1, 1950 	199.11
Nov 1, 1950 	202.34
Oct 1, 1950 	203.58
Sep 1, 1950 	197.09
Aug 1, 1950 	191.15
Jul 1, 1950 	181.76
Jun 1, 1950 	198.45
May 1, 1950 	196.10
Apr 1, 1950 	190.52
Mar 1, 1950 	185.29
Feb 1, 1950 	184.58
Jan 1, 1950 	181.04
Dec 1, 1949 	176.64
Nov 1, 1949 	170.60
Oct 1, 1949 	168.98
Sep 1, 1949 	163.35
Aug 1, 1949 	161.92
Jul 1, 1949 	156.97
Jun 1, 1949 	147.32
May 1, 1949 	156.52
Apr 1, 1949 	157.02
Mar 1, 1949 	157.89
Feb 1, 1949 	156.41
Jan 1, 1949 	161.30
Dec 1, 1948 	158.86
Nov 1, 1948 	159.24
Oct 1, 1948 	167.23
Sep 1, 1948 	162.13
Aug 1, 1948 	163.98
Jul 1, 1948 	169.61
Jun 1, 1948 	175.90
May 1, 1948 	170.31
Apr 1, 1948 	163.08
Mar 1, 1948 	154.02
Feb 1, 1948 	151.22
Jan 1, 1948 	157.71
Dec 1, 1947 	161.89
Nov 1, 1947 	166.61
Oct 1, 1947 	169.30
Sep 1, 1947 	165.03
Aug 1, 1947 	173.18
Jul 1, 1947 	179.04
Jun 1, 1947 	170.01
May 1, 1947 	165.03
Apr 1, 1947 	168.03
Mar 1, 1947 	174.47
Feb 1, 1947 	185.22
Jan 1, 1947 	178.30
Dec 1, 1946 	177.36
Nov 1, 1946 	173.82
Oct 1, 1946 	178.73
Sep 1, 1946 	186.43
Aug 1, 1946 	220.85
Jul 1, 1946 	229.76
Jun 1, 1946 	250.42
May 1, 1946 	254.76
Apr 1, 1946 	255.60
Mar 1, 1946 	241.43
Feb 1, 1946 	251.62
Jan 1, 1946 	249.55
Dec 1, 1945 	239.99
Nov 1, 1945 	237.28
Oct 1, 1945 	229.76
Sep 1, 1945 	220.57
Aug 1, 1945 	206.50
Jul 1, 1945 	205.81
Jun 1, 1945 	210.12
May 1, 1945 	208.67
Apr 1, 1945 	202.20
Mar 1, 1945 	197.24
Feb 1, 1945 	197.38
Jan 1, 1945 	191.01
Dec 1, 1944 	185.49
Nov 1, 1944 	182.55
Oct 1, 1944 	183.83
Sep 1, 1944 	179.42
Aug 1, 1944 	182.41
Jul 1, 1944 	185.11
Jun 1, 1944 	181.44
May 1, 1944 	174.27
Apr 1, 1944 	171.24
Mar 1, 1944 	175.27
Feb 1, 1944 	170.49
Jan 1, 1944 	171.65
Dec 1, 1943 	166.29
Nov 1, 1943 	164.11
